,1
Brown_Jason,2
Brown_Jason_(D),2
Brown_Jr_Jack_Alan_(C),2
Brown_Kate,3
Brown_Kate_(D),3
Brown_Kate_(WI),1
Brown_Linda,1
Brown_Robin_M,1
Brown_Robin_M_(R),1
Brown_Walter_F_(Walt)_(PG),1
Brown_Walter_F_(Walt)_(PRO),1
Brown_Walter_F_(Walt)_(S),1
Brownhill_Paula,1
Brownlow_Dave_(C),1
Brownlow_David_(C),2
Bruce_Robert_R_(D),1
Bruun_Scott,4
Bruun_Scott_(R),3
Bruun_Scott_(REP),1
Buchal_James_(R),1
Buchal_James_L,2
Buchal_James_L(WI),1
Buchal_James_L_(R),1
Buck_Jim,1
Buck_Jim_(D),1
Buckley_Peter,5
Buckley_Peter(WI),2
Buckley_Peter_(D),5
Buckley_Peter_(DEM),1
Buehler_Knute,1
Buehler_Knute_(R),1
Buehler_Knute_C_(R),1
Bunch_Dan,2
Bunn_Jim,1
Burbach_Lou_(C),1
Burcart_Janie_M,1
Burch_Jeanne_E,1
Burdick_Ginny,3
Burdick_Ginny_(D),3
Burge_Frances,1
Burgett_Paul_R,1
Burley_Chuck,3
Burley_Chuck_(R),3
Burnham_Amanda_(L),1
Burton_Claudia_M,2
Bush_George_W,1
Bush_George_W_(R),1
Bushong_Stephen_K,1
Butcher_III_Charles_H,1
Butler_Frank_A,1
Butler_R_Thomas_(Tom),3
Butler_R_Thomas_(Tom)_(R),2
Butler_R_Thomas_(Tom)_(WI),1
Butterfield_Eric,1
Butterfield_Stan,3
Byers_Sara,1
Byers_Sara_(DEM),1
Cairns_Shirley_A,1
Cairns_Shirley_A_(D),1
Caleb_Edwin_I,2
Callahan_Cathleen_B,1
Callahan_Mark,1
Callahan_Mark_(PGP),1
Callahan_Mark_(R),1
Calvert_James,2
Calvert_James_(D),2
Cameron_Kevin,4
Cameron_Kevin_(R),3
Cameron_Kevin_(REP),1
Campbell_Kathy,1
Campbell_Kathy_(D),1
Campbell_Monte_S,1
Campbell_Stephen_D,3
Cannon_Ben,3
Cannon_Ben(WI),1
Cannon_Ben_(D),2
Cannon_Ben_(DEM),1
Cantrell_Sam,1
Card_Nick_(R),1
Carlile_Jason,2
Carlson_Charles_D,1
Carlson_Cynthia_D,2
Carp_Ted,1
Carpenter_Jim,2
Carroll_Ross,1
Carroll_Ross_(D),1
Carter_Margaret,2
Carter_Margaret(WI),1
Carter_Margaret_(D),2
Carter_Margaret_(WI),1
Carter_Scott_Orin,1
Castaneda_Manuel,1
Castaneda_Manuel_(R),1
Castillo_Susan,2
Caton_Jeff,1
Caton_Jeff_(IND),1
Caton_Jeff_(R),1
Caudle_Mike,1
Caudle_Mike_(D),1
Cañas_Adriana_H,1
Cernak_John-Paul,1
Chambers_Dale_C,1
Chaney_James,1
Chanti_Suzanne,1
Chappell_IV_Claude_William,1
Chappell_Steven_K,1
Charter_Joe,3
Chase_Sam,1
Chereck_Jr_Tom_M,3
Chereck_Jr_Tom_M_(R),1
Chester_David_L_(L),1
Chriestenson_Dan_(R),1
Christensen_Will_(C),1
Christofferson_Aelea_(D),1
Cinniger_Ronald_E,1
Clem_Brian,3
Clem_Brian(WI),1
Clem_Brian_(D),3
Clem_Brian_(DEM),1
Clem_Brian_L,1
Clem_Brian_L_(D),1
Cleys_Frank,1
Cleys_Frank_(R),1
Cline_Michael_(L),1
Clinton_Hillary,1
Close_Betsy_L,1
Close_Betsy_L_(R),2
Cobb_David_(P),1
Cobb_Rita_Batz,2
Coe_Gary,1
Coe_Gary_(R),1
Colahan_Timothy_J,3
Colas_Leon_S,1
Colbath_Marlene_(Mitzi),1
Coleman_Lee,1
Coleman_Lee_(D),1
Collins_John_L,2
Colvin_Clark,1
Comfort_Travis,1
Coney_Jon,1
Conger_Jason,2
Conger_Jason_(R),1
Conger_Jason_(REP),1
Connell_David_B,2
Connolly_Paul,1
Connolly_Paul_(R),1
Conover_R_Curtis,1
Cook_Nancy,1
Cook_Nena,2
Cook_Rose,1
Cook_Rose_(REP),1
Cook_Vernon,1
Coon_Dwight,2
Coon_Dwight_(R),1
Coon_Dwight_(REP),1
Cooper_Laura_D_(R),1
Cornett_Jesse,1
Cornett_William_(Bill)_C,2
Cornett_William_(Bill)_C_(R),2
Cornilles_Rob,1
Cornilles_Rob_(REP),1
CountyAlbrecht_Cheryl,1
Courtney_Peter,2
Courtney_Peter_(D),2
Courtney_Peter_(DEM),1
Cowan_Jean,4
Cowan_Jean(WI),1
Cowan_Jean_(D),3
Cowan_Jean_(DEM),1
Cox_Thomas_B(WI),1
Cox_Tom_(L),1
Cox_Tom_(R),1
Crain_Patricia,2
Cramer_Jr_William_D,1
Cronk_Bruce_(WFP),1
Cronk_Bruce_W,1
Cronk_Bruce_W_(D),1
Cropp_Jeff_(P),1
Crowley_Paul_G,2
Cruson_Cheryl,2
Cruz_Sean,1
Cuff_Bruce,2
Cunningham_Ken_(C),2
