,dollar_amount,votes
0,405892.36000000004,24550.0
1,611486.9299999998,27667.0
2,258157.87999999998,23044.0
3,443102.5,26705.0
4,96436.38,19945.0
5,106003.49,17930.0
6,137380.15999999997,17033.0
7,367291.27999999997,17977.0
8,100932.5,19048.0
9,375573.18000000034,12094.0
10,957244.7000000002,30343.0
11,354363.39999999997,14284.0
12,178474.88,18748.0
13,114325.58,20041.0
14,969410.1700000005,22144.0
15,721063.74,14083.0
16,833934.4300000003,12994.0
17,606358.0700000001,9028.0
18,175769.13000000003,11542.0
19,132983.66999999998,10527.0
20,749167.4799999999,21382.0
21,1007036.1199999998,17869.0
22,132772.97,16815.0
23,146867.32999999996,24017.0
24,39401.07,11439.0
25,78270.53,16035.0
26,131180.74,29308.0
27,93148.5,30550.0
28,896076.6100000003,18156.0
29,461784.36,24925.0
30,328426.75,24422.0
31,106560.93,9166.0
32,155345.79,10892.0
33,70077.82,15341.0
34,109700.60999999999,20310.0
35,210694.35,16908.0
36,82043.17000000001,9023.0
37,431005.4200000002,8518.0
38,183646.14,15978.0
39,77886.96,16881.0
40,87606.84,12977.0
41,51716.200000000004,18405.0
42,86667.56000000001,14831.0
43,45255.36,17495.0
44,109399.18999999999,21284.0
45,182817.38,37545.0
46,136511.71000000002,30677.0
47,82328.8,29077.0
48,90788.70000000001,30601.0
49,99261.91,18987.0
50,40652.15,16252.0
51,107849.20000000001,21532.0
52,93932.86,21675.0
53,114893.62,20173.0
54,525.86,6255.0
55,168493.91,10550.0
56,126337.92000000001,13856.0
57,162805.45,16211.0
58,73497.88,15242.0
59,107611.32,12637.0
60,100.0,5667.0
61,233967.32999999996,32956.0
62,251725.49999999997,38129.0
63,465601.43000000005,16391.0
64,460406.66000000003,16716.0
65,87373.09000000001,10314.0
66,412740.77999999997,14841.0
67,117072.95000000001,14582.0
68,66971.45,10395.0
69,251060.96000000002,26785.0
70,178624.38000000003,21626.0
71,85973.26000000001,12662.0
72,145388.95999999996,10379.0
73,268844.62,13787.0
74,74055.33,14707.0
75,81895.71999999999,12083.0
76,2354.0,8012.0
77,15118.25,8842.0
78,288107.3,12213.0
79,88133.34000000001,12445.0
80,119663.18000000001,22020.0
81,99838.0,27055.0
82,352814.13999999996,13498.0
83,404084.9800000001,16122.0
84,198056.04,14828.0
85,214417.90999999997,14532.0
86,332350.80000000005,15388.0
87,60852.63,14770.0
88,49287.219999999994,16670.0
89,97942.54000000001,27638.0
90,1611370.44,727607.0
91,750228.8200000002,15348.0
92,135142.36000000002,23705.0
93,183885.64,26080.0
94,41370.55,19821.0
95,47748.96,27623.0
96,88220.26000000001,21553.0
97,76236.51000000001,12991.0
98,87955.79000000001,17593.0
99,112521.61,18334.0
100,1963.0600000000002,749.0
101,4688.4800000000005,8651.0
102,68695.16999999998,18945.0
103,103358.20000000003,24403.0
104,114409.56999999999,40948.0
105,546.42,3557.0
106,956.26,3151.0
107,37698.19000000001,19626.0
108,9352.52,17999.0
109,93510.9,17204.0
110,227470.0,18836.0
111,671754.5800000001,17686.0
112,58780.0,20101.0
113,63782.89,21248.0
114,58133.16,19413.0
115,55970.36999999999,15967.0
116,68471.11,19110.0
117,117549.48000000001,16854.0
118,83568.41,17715.0
119,88327.48,21681.0
120,94044.1,19202.0
121,362791.38999999984,12409.0
122,568451.3500000001,11199.0
123,169339.01000000004,16120.0
124,185851.27,20635.0
125,189949.75999999998,18929.0
126,471476.04,14883.0
127,611472.72,16179.0
128,82951.0,15244.0
129,94042.45999999999,15842.0
130,94633.7,13522.0
131,934770.49,30179.0
132,288944.96,39529.0
133,3321.7200000000003,5689.0
134,3401.68,7872.0
135,195915.37,12407.0
136,98019.05,16594.0
137,89294.27000000002,15327.0
138,71777.03,15782.0
139,54156.49,19306.0
140,948553.2000000003,27826.0
141,93526.09,10824.0
142,557455.0600000002,24979.0
143,972940.81,12584.0
144,830258.3700000006,10518.0
145,82118.6,15719.0
146,54981.24,18118.0
147,89771.3,16683.0
148,483237.80000000005,13735.0
149,486150.49000000005,11059.0
150,105407.41999999998,32281.0
151,147079.71,15781.0
152,367872.7,17653.0
153,123415.11,16517.0
154,561389.3200000001,23235.0
155,647482.19,19760.0
156,227236.89,15398.0
157,287699.8000000001,19174.0
158,248590.31,17621.0
159,130802.66,11336.0
160,503551.52999999997,14413.0
161,622890.3999999999,12370.0
162,161892.76,14558.0
163,130789.68,20824.0
164,278241.68,15129.0
165,118577.34,15143.0
166,107060.03,16745.0
167,163756.30000000002,18337.0
168,72285.40000000001,22491.0
169,73710.05,18115.0
170,57794.0,21505.0
171,67712.20999999999,18891.0
