,dollar_amount,votes
0,781394.5700000001,103847.0
1,3144050.110000001,648532.0
2,2298161.4600000004,585512.5
3,76632.44,352072.5
4,5376773.87,716525.0
5,5441273.82,733215.0
6,1335887.14,461366.0
7,748306.7999999998,608488.5
