committee_id,total_transactions
5203,476
3094,735
4016,796
2998,27
113,581
7485,139
5239,15
12568,160
1322,33
2864,1429
4152,6842
12498,3321
289,0
290,611
13335,53
4100,932
4270,2272
3481,1256
12493,3095
3087,2217
13422,129
5049,165
291,4106
11508,3098
4112,1041
5029,106
19,0
4554,341
5254,999
4846,2878
4893,837
12684,319
12902,262
4824,1841
1948,112
12845,464
6088,130
5434,2210
4727,1206
12547,184
26,1058
5089,3184
13005,0
3082,71
5785,2339
273,692
2731,203
5067,396
